timestamp,git_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,logN,N,t,m,trial_index,warmup,status,data_source,correctness,network,split_input_setup_ms,pprf_key_setup_ms,pprf_full_eval_p0_ms,pprf_full_eval_p1_ms,wht_p0_ms,wht_p1_ms,pointwise_p0_ms,pointwise_p1_ms,output_materialization_p0_ms,output_materialization_p1_ms,setup_wall_ms,expand_wall_ms,total_wall_ms,local_expand_p0_ms,local_expand_p1_ms,total_cpu_work_ms,p0_peak_rss_bytes,p1_peak_rss_bytes,max_party_peak_rss_bytes,sum_party_peak_rss_bytes,pprf_instances,split_input_noisy_svole_length,pprf_domain_size,pprf_point_count,pprf_leaves_per_sparse_polynomial,notes,check,result
2026-07-23T01:21:06.757121+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,16,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:06.757160+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,16,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:06.757170+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,32,-1,1,OK,measured,PASS,tcp-loopback,427.399,206.581,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,545.644,52.443999999999996,597.3380000000001,52.443999999999996,51.695,738.119,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:07.771814+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,32,0,0,OK,measured,PASS,tcp-loopback,431.21,207.577,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,549.684,80.353,629.98,80.353,80.295,799.435,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:08.838209+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,32,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:08.838248+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,32,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:08.838259+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,8,-1,1,OK,measured,PASS,tcp-loopback,134.74099999999999,159.137,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,282.442,97.68400000000001,377.603,97.68400000000001,95.161,486.723,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:09.647661+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,8,0,0,OK,measured,PASS,tcp-loopback,115.29100000000001,147.595,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,251.35600000000002,69.268,315.806,69.268,64.44999999999999,396.604,68194304,68194304,68194304,136388608,2,128,4096,64,262144,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:10.387693+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,8,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:10.387731+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,18,262144,64,8,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
