timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,c,logN,N,t,domainSize,m,trial_index,warmup,status,data_source,correctness,pprf_instance_count,consumed_ot_count,base_ot_protocol_invocations,ot_generation_time_ms,ot_communication_bytes,pprf_only_time_ms,key_setup_wall_ms,pprf_setup_bytes,pprf_payload_bytes,total_comm_bytes,p0_peak_rss_bytes,p1_peak_rss_bytes,notes
2026-07-23T08:50:36.149888+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,-1,1,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1140.345,1140.345,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:37.295755+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,0,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1135.798,1135.798,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:38.438099+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,1,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1139.0880000000002,1139.0880000000002,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:39.583909+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,2,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1132.1619999999998,1132.1619999999998,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:40.722649+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,3,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1144.378,1144.378,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:41.873609+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,4,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1161.24,1161.24,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:43.041484+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,5,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1161.507,1161.507,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:44.209609+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,6,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1159.651,1159.651,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:45.375862+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,7,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1131.146,1131.146,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:46.513391+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,8,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1157.904,1157.904,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:47.677748+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,COORDINATE_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,9,0,OK,measured,PASS,32,32,32,0.0,included_in_pprf_setup_bytes,1162.2920000000001,1162.2920000000001,814384,814384,814384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:48.846668+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,-1,1,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,76.81,76.81,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:48.929846+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,0,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,76.913,76.913,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.011816+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,1,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,75.712,75.712,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.092186+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,2,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,77.494,77.494,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:49.173854+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,32,3,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,77.03500000000001,77.03500000000001,177920,177920,177920,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
