method,logN,m,metric,count,median,mean,stddev,min,max,table,network_profile
SILENT_SVOLE,18,16,total_wall_ms,10,1188.701,1190.6368,4.548106524697928,1185.529,1198.8799999999999,network_runtime,FAST
SILENT_SVOLE,18,16,total_comm_bytes,10,32848648.0,32848648.0,0.0,32848648.0,32848648.0,network_runtime,FAST
SILENT_SVOLE,18,32,total_wall_ms,10,1833.477,1832.7322,13.540896674888243,1815.457,1849.95,network_runtime,FAST
SILENT_SVOLE,18,32,total_comm_bytes,10,130525960.0,130525960.0,0.0,130525960.0,130525960.0,network_runtime,FAST
SILENT_SVOLE,18,8,total_wall_ms,10,878.5715,878.8294,1.0820418845867248,877.258,880.302,network_runtime,FAST
SILENT_SVOLE,18,8,total_comm_bytes,10,8389384.0,8389384.0,0.0,8389384.0,8389384.0,network_runtime,FAST
SILENT_SVOLE,20,16,total_wall_ms,10,2978.809,2979.8709,4.083711435691784,2975.897,2987.527,network_runtime,FAST
SILENT_SVOLE,20,16,total_comm_bytes,10,32880392.0,32880392.0,0.0,32880392.0,32880392.0,network_runtime,FAST
SILENT_SVOLE,20,32,total_wall_ms,10,4015.4855000000002,4010.4879,14.774462551646275,3985.947,4030.2,network_runtime,FAST
SILENT_SVOLE,20,32,total_comm_bytes,10,130557704.0,130557704.0,0.0,130557704.0,130557704.0,network_runtime,FAST
SILENT_SVOLE,20,8,total_wall_ms,10,1968.3825000000002,1973.2384,12.027970428962634,1960.784,1992.918,network_runtime,FAST
SILENT_SVOLE,20,8,total_comm_bytes,10,8421128.0,8421128.0,0.0,8421128.0,8421128.0,network_runtime,FAST
RM_VECTOR_GENERIC_SPLIT,14,16,total_wall_ms,5,11994.131,12038.043,86.00984085556738,11956.094000000001,12147.468,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,14,16,total_comm_bytes,5,16941392.0,16941392.0,0.0,16941392.0,16941392.0,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,14,8,total_wall_ms,5,3480.024,3502.2491999999997,76.62707024387672,3418.3289999999997,3646.46,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,14,8,total_comm_bytes,5,4308304.0,4308304.0,0.0,4308304.0,4308304.0,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,18,16,total_wall_ms,5,12213.36,12227.399,65.22039773874403,12157.411,12317.394999999999,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,18,16,total_comm_bytes,5,16975184.0,16975184.0,0.0,16975184.0,16975184.0,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,18,8,total_wall_ms,5,3605.185,3606.1072,25.56233845640878,3562.335,3640.2839999999997,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,18,8,total_comm_bytes,5,4342096.0,4342096.0,0.0,4342096.0,4342096.0,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,20,16,total_wall_ms,5,12984.078,13034.247,80.8431850436389,12959.177,13153.11,network_runtime,WAN10
RM_VECTOR_GENERIC_SPLIT,20,16,total_comm_bytes,5,16992080.0,16992080.0,0.0,16992080.0,16992080.0,network_runtime,WAN10
