tag,status_token,method,encoder,logN,N,m,trial_index,warmup,requested_N,generated_N,code_size,base_field_wht_s,coordinate_wht_m_s,pointwise_ops_s,output_materialization_s,total_s,ns_per_rm_vole_coordinate,ns_per_base_field_matrix_entry,notes,timestamp,benchmark_source_commit,status,base_field_encoder_ms,coordinate_encoder_ms,pointwise_ops_ms,output_materialization_ms,total_ms
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,9,0,4096,4096,4096,0.000032,0.000529,0.000194,0.000023,0.000778,189.998786,11.874924,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273768+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.5289999999999999,0.194,0.023,0.778
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,0,1,4096,4096,8432,0.000683,0.002173,0.000000,0.000059,0.002915,711.766802,44.485425,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273783+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.683,2.173,0.0,0.059,2.915
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,0,0,4096,4096,8432,0.000692,0.002080,0.000000,0.000057,0.002829,690.641286,43.165080,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273796+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.6920000000000001,2.0799999999999996,0.0,0.057,2.8289999999999997
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,1,0,4096,4096,8432,0.000682,0.002162,0.000000,0.000057,0.002901,708.252287,44.265768,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273810+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.6819999999999999,2.162,0.0,0.057,2.901
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,2,0,4096,4096,8432,0.000671,0.002089,0.000000,0.000058,0.002818,688.024215,43.001513,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273825+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.671,2.089,0.0,0.058,2.818
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,3,0,4096,4096,8432,0.000698,0.002142,0.000000,0.000056,0.002897,707.279469,44.204967,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273841+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.6980000000000001,2.142,0.0,0.056,2.897
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,4,0,4096,4096,8432,0.000679,0.002091,0.000000,0.000059,0.002830,690.974048,43.185878,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273853+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.679,2.091,0.0,0.059,2.83
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,5,0,4096,4096,8432,0.000671,0.002041,0.000000,0.000057,0.002769,675.917477,42.244842,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273865+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.671,2.041,0.0,0.057,2.769
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,6,0,4096,4096,8432,0.000678,0.002040,0.000000,0.000057,0.002775,677.554908,42.347182,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273882+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.678,2.04,0.0,0.057,2.775
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,7,0,4096,4096,8432,0.000693,0.002113,0.000000,0.000059,0.002865,699.571274,43.723205,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273894+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.6930000000000001,2.113,0.0,0.059,2.8649999999999998
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,8,0,4096,4096,8432,0.000718,0.002104,0.000000,0.000056,0.002879,702.865009,43.929063,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273908+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.718,2.104,0.0,0.056,2.879
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,16,9,0,4096,4096,8432,0.000718,0.002109,0.000000,0.000057,0.002884,704.190938,44.011934,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.273923+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.718,2.109,0.0,0.057,2.884
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,0,1,4096,4096,4096,0.000040,0.001050,0.000388,0.000063,0.001542,376.450885,11.764090,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.349880+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.04,1.05,0.388,0.063,1.542
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,0,0,4096,4096,4096,0.000043,0.001047,0.000424,0.000063,0.001577,385.121098,12.035034,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.349926+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.043000000000000003,1.047,0.424,0.063,1.577
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,1,0,4096,4096,4096,0.000032,0.001041,0.000388,0.000060,0.001521,371.399665,11.606240,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.349944+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.0410000000000001,0.388,0.060000000000000005,1.521
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,2,0,4096,4096,4096,0.000032,0.001067,0.000398,0.000061,0.001559,380.640358,11.895011,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.349958+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.067,0.398,0.061,1.5590000000000002
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,3,0,4096,4096,4096,0.000032,0.001069,0.000389,0.000060,0.001550,378.360596,11.823769,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.349975+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.0690000000000002,0.389,0.060000000000000005,1.55
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,4,0,4096,4096,4096,0.000032,0.001065,0.000389,0.000060,0.001546,377.367883,11.792746,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.349996+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.065,0.389,0.060000000000000005,1.546
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,5,0,4096,4096,4096,0.000032,0.001058,0.000444,0.000066,0.001600,390.659466,12.208108,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.350009+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.0579999999999998,0.444,0.066,1.6
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,6,0,4096,4096,4096,0.000066,0.001067,0.000388,0.000060,0.001582,386.240686,12.070021,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.350023+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.066,1.067,0.388,0.060000000000000005,1.582
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,7,0,4096,4096,4096,0.000032,0.001076,0.000388,0.000060,0.001556,379.881612,11.871300,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.350036+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.0759999999999998,0.388,0.060000000000000005,1.556
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,8,0,4096,4096,4096,0.000032,0.001040,0.000398,0.000061,0.001531,373.807097,11.681472,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.350049+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.0399999999999998,0.398,0.061,1.531
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,32,9,0,4096,4096,4096,0.000032,0.001083,0.000388,0.000060,0.001564,381.846235,11.932695,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.350065+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,1.083,0.388,0.060000000000000005,1.564
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,32,0,1,4096,4096,8432,0.000675,0.001359,0.000000,0.000265,0.002299,561.191882,17.537246,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.350078+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.675,1.359,0.0,0.265,2.299
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,32,0,0,4096,4096,8432,0.000695,0.001302,0.000000,0.000303,0.002300,561.489742,17.546554,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.350094+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.695,1.302,0.0,0.303,2.3
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,32,1,0,4096,4096,8432,0.000681,0.001321,0.000000,0.000310,0.002313,564.586230,17.643320,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.350107+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.6809999999999999,1.321,0.0,0.31,2.313
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,32,2,0,4096,4096,8432,0.000695,0.001364,0.000000,0.000312,0.002372,579.020025,18.094376,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.350119+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.695,1.3639999999999999,0.0,0.312,2.372
ENCODER_ONLY_BENCH,PASS,EXCONV7X24_ENCODER,ExConv7x24,12,4096,32,3,0,4096,4096,8432,0.000682,0.001296,0.000000,0.000309,0.002287,558.447027,17.451470,encoder_only; no_PPRF_setup; no_base_correlations; silent_sVOLE_ExConv7x24_parameters,2026-07-26T07:46:01.350137+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.6819999999999999,1.296,0.0,0.309,2.287
