network_profile,network_label,method,logN,m,metric,count,median,mean,stddev,min,max
FAST,emulated TCP network,SILENT_SVOLE,14,8,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,16,16,total_wall_ms,10,767.0215,767.7063,1.6032722195560005,766.225,771.331
FAST,emulated TCP network,SILENT_SVOLE,16,16,total_comm_bytes,10,32816904.0,32816904.0,0.0,32816904.0,32816904.0
FAST,emulated TCP network,SILENT_SVOLE,16,16,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,16,32,total_wall_ms,10,1335.286,1334.7935,1.749425519992238,1331.623,1336.8660000000002
FAST,emulated TCP network,SILENT_SVOLE,16,32,total_comm_bytes,10,130494216.0,130494216.0,0.0,130494216.0,130494216.0
FAST,emulated TCP network,SILENT_SVOLE,16,32,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,16,8,total_wall_ms,10,602.09,602.3679,1.9973055574948977,600.482,607.395
FAST,emulated TCP network,SILENT_SVOLE,16,8,total_comm_bytes,10,8357640.0,8357640.0,0.0,8357640.0,8357640.0
FAST,emulated TCP network,SILENT_SVOLE,16,8,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,18,16,total_wall_ms,10,1188.701,1190.6368,4.548106524697928,1185.529,1198.8799999999999
FAST,emulated TCP network,SILENT_SVOLE,18,16,total_comm_bytes,10,32848648.0,32848648.0,0.0,32848648.0,32848648.0
FAST,emulated TCP network,SILENT_SVOLE,18,16,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,18,32,total_wall_ms,10,1833.477,1832.7322,13.540896674888243,1815.457,1849.95
FAST,emulated TCP network,SILENT_SVOLE,18,32,total_comm_bytes,10,130525960.0,130525960.0,0.0,130525960.0,130525960.0
FAST,emulated TCP network,SILENT_SVOLE,18,32,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,18,8,total_wall_ms,10,878.5715,878.8294,1.0820418845867248,877.258,880.302
FAST,emulated TCP network,SILENT_SVOLE,18,8,total_comm_bytes,10,8389384.0,8389384.0,0.0,8389384.0,8389384.0
FAST,emulated TCP network,SILENT_SVOLE,18,8,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,20,16,total_wall_ms,10,2978.809,2979.8709,4.083711435691784,2975.897,2987.527
